"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2023-01-26 02:33:34","5.307","-72.907","18.26","3.4","MLr_3","54","1.2","51","2.147","2.599","4.17","Aquitania - Boyacá, Colombia","","","","manual"
"2023-01-26 04:29:40","5.326","-72.911","18.55","3.3","MLr_3","36","1.2","49","2.666","3.191","5.16","Aquitania - Boyacá, Colombia","","","","manual"
"2023-01-26 22:21:24","5.347","-72.911","19.02","3.4","MLr_3","39","1.3","47","2.644","3.250","5.11","Aquitania - Boyacá, Colombia","","","","manual"
"2023-01-29 02:04:38","5.099","-73.012","19.43","3.9","MLr_3","67","1.2","62","1.952","2.333","3.83","Páez - Boyacá, Colombia","","","","manual"
"2023-02-18 23:24:58","5.006","-73.225","19.96","3.9","MLr_3","54","1.5","57","2.171","2.751","4.05","Macanal - Boyacá, Colombia","","","","manual"
"2023-03-08 13:12:04","6.661","-72.119","15.51","3.1","MLr_3","47","1.3","123","2.206","3.280","3.68","Guicán - Boyacá, Colombia","","","","manual"
"2023-03-09 09:50:53","5.089","-73.056","18.26","3.1","MLr_3","51","1.1","61","1.814","2.114","2.72","Páez - Boyacá, Colombia","","","","manual"
"2023-04-19 15:10:39","6.998","-72.206","27.23","3.9","MLr_3","67","1.3","162","2.032","3.473","3.16","Cubará - Boyacá, Colombia","","","","manual"
"2023-04-20 19:48:23","6.99","-72.273","21.13","3.0","MLr_3","35","1.3","174","2.799","4.235","4.79","Cubará - Boyacá, Colombia","","","","manual"
"2023-11-17 08:32:23","5.332","-72.969","17.85","3.2","MLr_3","28","1.1","87","2.046","4.229","4.62","Aquitania - Boyacá, Colombia","","","","manual"
