"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2023-01-06 04:37:12","3.47","-74.203","13.87","3.9","MLr_3","60","1.0","53","1.744","1.422","2.56","Mesetas - Meta, Colombia","","","","manual"
"2023-01-14 11:33:02","3.454","-74.217","9.82","3.3","MLr_3","55","1.2","54","1.938","1.541","2.79","Mesetas - Meta, Colombia","","","","manual"
"2023-04-15 20:52:53","3.464","-74.307","17.79","4.1","MLr_3","75","1.2","42","1.657","1.495","2.62","Uribe - Meta, Colombia","","","","manual"
"2023-05-14 06:04:17","4.098","-73.848","9.94","5.3","Mw(mB)","95","1.2","49","1.348","1.335","2.06","Acacías - Meta, Colombia","","","","manual"
"2023-06-30 01:52:29","3.203","-73.86","23.3","5.2","MLr_3","102","1.1","120","1.865","1.937","2.27","Vistahermosa - Meta, Colombia","","","","manual"
"2023-07-02 09:37:51","3.194","-73.843","19.2","4.1","MLr_3","80","1.2","121","2.091","2.074","2.57","Vistahermosa - Meta, Colombia","","","","manual"
"2023-08-17 17:04:51","4.422","-73.633","12.99","6.1","M","68","1.1","53","1.497","1.896","2.51","San Juanito - Meta, Colombia","","","","manual"
"2023-08-17 17:07:43","4.417","-73.644","16.04","4.6","MLr_3","24","0.8","80","1.691","2.202","3.20","San Juanito - Meta, Colombia","","","","manual"
"2023-08-17 17:08:51","4.469","-73.662","12.99","3.7","MLr_3","7","0.4","200","2.331","3.278","5.85","San Juanito - Meta, Colombia","","","","manual"
"2023-08-17 17:12:23","4.379","-73.751","17.73","3.0","MLr_3","7","0.5","148","4.127","3.530","4.14","El Calvario - Meta, Colombia","","","","manual"
"2023-08-17 17:20:02","4.379","-73.683","-1.95","3.4","MLr_3","6","0.4","180","4.744","3.051","6.78","San Juanito - Meta, Colombia","","","","manual"
"2023-08-17 18:14:53","4.437","-73.619","18.03","3.0","MLr_3","43","1.0","47","1.732","2.066","2.77","Restrepo - Meta, Colombia","","","","manual"
"2023-08-17 20:19:21","4.41","-73.675","15.68","3.3","MLr_3","52","1.1","46","1.317","1.808","2.17","San Juanito - Meta, Colombia","","","","manual"
"2023-08-18 01:15:26","4.42","-73.614","12.87","5.1","MLr_3","92","1.3","47","1.348","1.743","2.37","Restrepo - Meta, Colombia","","","","manual"
"2023-08-18 01:17:25","4.409","-73.775","21.37","3.0","MLr_3","8","0.7","140","2.451","4.522","4.54","El Calvario - Meta, Colombia","","","","manual"
"2023-08-18 03:39:13","4.405","-73.673","17.44","3.2","MLr_3","79","1.1","46","1.250","1.617","2.11","San Juanito - Meta, Colombia","","","","manual"
"2023-08-18 19:46:02","4.289","-73.758","13.87","3.2","MLr_3","66","1.2","42","1.437","1.963","2.45","El Calvario - Meta, Colombia","","","","manual"
"2023-08-19 11:27:29","4.3","-73.739","16.04","3.0","MLr_3","54","0.8","43","1.309","1.607","2.04","El Calvario - Meta, Colombia","","","","manual"
"2023-08-26 03:33:55","4.395","-73.674","13.31","3.4","MLr_3","68","0.7","45","0.982","0.953","1.49","San Juanito - Meta, Colombia","","","","manual"
"2023-08-27 21:07:18","3.32","-74.415","27.52","3.0","MLr_3","68","1.1","67","1.820","1.578","2.60","Uribe - Meta, Colombia","","","","manual"
"2023-08-31 23:47:47","3.164","-73.915","18.38","3.1","MLr_3","47","0.9","100","2.671","2.175","2.68","Vistahermosa - Meta, Colombia","","","","manual"
"2023-09-01 12:43:00","4.277","-73.741","14.01","3.4","MLr_3","63","0.7","33","0.930","0.953","1.41","Villavicencio - Meta, Colombia","","","","manual"
"2023-09-24 06:47:03","4.34","-73.713","16.45","3.5","MLr_3","73","0.9","44","1.185","1.136","1.73","El Calvario - Meta, Colombia","","","","manual"
"2023-10-04 20:00:11","4.352","-73.705","14.37","3.0","MLr_3","55","0.8","46","1.125","1.029","1.74","El Calvario - Meta, Colombia","","","","manual"
"2023-10-17 01:05:50","2.185","-74.31","23.95","3.4","MLr_2","62","1.3","99","2.879","2.320","5.07","La Macarena - Meta, Colombia","","","","manual"
"2023-10-25 13:03:30","3.839","-71.344","0","3.0","MLr_PtoGtn","76","1.0","157","1.697","1.697","2.00","Puerto Gaitán - Meta, Colombia","","","","manual"
"2023-11-04 05:25:29","4.402","-73.67","14.98","3.6","MLr_3","84","1.1","53","1.318","1.154","1.67","San Juanito - Meta, Colombia","","","","manual"
"2023-11-10 07:48:02","4.355","-73.591","11.85","4.3","MLr_3","82","1.0","75","0.970","1.218","1.51","Restrepo - Meta, Colombia","","","","manual"
"2023-11-19 07:23:07","3.619","-74.456","29.51","3.2","MLr_3","78","1.0","40","1.531","1.171","2.80","Uribe - Meta, Colombia","","","","manual"
"2023-11-27 02:38:42","3.514","-74.537","3.34","3.0","MLr_3","98","0.8","57","0.566","0.566","1.40","Uribe - Meta, Colombia","","","","manual"
"2023-12-14 18:33:30","4.406","-73.605","12.99","3.0","MLr_3","53","1.0","53","1.301","1.369","2.17","Restrepo - Meta, Colombia","","","","manual"
